inv_br;naziv;stopa;amgrp;amgrp_naz;datum_nabave;aktivirano;kto_nabave;kto otpisa;duguje;potrazuje;saldo;amortizacija_za_razdoblje
477;FAX ZA KUTINU;50;1003;Elekt. Računala, oprema i mobi;2009-10-09;2009-11-01;03110;03902;2814.60;2814.60;0.00;0.00
478;AUTOCAD LT 2010 2 KOM;50;1010;Softveri;2009-05-20;2009-06-01;01200;01930;16131.00;16131.00;0.00;0.00
479;SEPARATOR-ODVAJAČ TALOGA;10;1008;Ostala oprema;2009-02-27;2009-03-01;03020;03905;24344.93;18055.48;6289.45;2434.44
480;BUŠILICA ZX7045A;10;1008;Ostala oprema;2009-06-24;2009-07-01;03010;03901;11990.00;8992.80;2997.20;1199.04
481;IBM SERVER;50;1003;Elekt. Računala, oprema i mobi;2009-02-09;2009-03-01;03110;03902;197574.92;197574.92;0.00;0.00
482;PS LENOVA THINKCENTRE A57;50;1003;Elekt. Računala, oprema i mobi;2009-05-18;2009-06-01;03110;03902;4458.20;4458.20;0.00;0.00
483;PC IBM A57SDJ8PCR WINXP;50;1003;Elekt. Računala, oprema i mobi;2009-06-16;2009-07-01;03110;03902;9062.69;9062.69;0.00;0.00
484;TELEFAKS CANON L160 SA PR;50;1003;Elekt. Računala, oprema i mobi;2009-07-10;2009-08-01;03120;03912;2032.05;2032.05;0.00;0.00
485;PC LENOVO THINKCENTRE A57;50;1003;Elekt. Računala, oprema i mobi;2009-08-28;2009-09-01;03110;03902;5285.90;5285.90;0.00;0.00
486;PS LENOVO A58 WIN XP;50;1003;Elekt. Računala, oprema i mobi;2009-10-23;2009-11-01;03110;03902;4139.84;4139.84;0.00;0.00
487;APARAT ZA ZAVARIVANJE 180;10;1008;Ostala oprema;2009-05-28;2009-06-01;03230;03904;3277.87;2486.12;791.75;327.84
488;BUŠILICA ČEKIĆ 5 KOM;10;1008;Ostala oprema;2009-10-28;2009-11-01;03230;03904;4220.00;3024.62;1195.38;422.04
489;BUŠILICA ČEKIĆ GBH 2400;10;1008;Ostala oprema;2009-10-21;2009-11-01;03230;03904;1688.00;1210.02;477.98;168.84
490;BOW-THRUSTERQUICK 40 KGF;10;1012;Brodice, jahte;2009-05-19;2009-06-01;03208;03909;17694.12;14450.10;3244.02;1769.40
491;AutoCAD LT 2010 1 kom;50;1011;Računala,programimmob.telef.op;2010-02-09;2010-03-01;01200;01930;9760.00;9760.00;0.00;0.00
492;AUTO BMWBJ253ET;20;1005;Osobna vozila;2010-08-01;2010-08-01;03200;03920;0.00;0.00;0.00;0.00
493;Usisavač FT 200 1,1 kW;10;1008;Ostala oprema;2010-02-25;2010-03-01;03230;03904;2950.00;2015.56;934.44;294.96
494;PC LENOVO 0403 A58 DESKT;50;1003;Elekt. Računala, oprema i mobi;2010-02-03;2010-03-01;03110;03902;3773.00;3773.00;0.00;0.00
496;Ručni stroj za spajanje A;10;1008;Ostala oprema;2010-03-24;2010-04-01;03010;03901;4355.00;2939.49;1415.51;435.48
497;LENOVO G550A-5 CORE 2 DUO;50;1011;Računala,programimmob.telef.op;2010-03-30;2010-04-01;03110;03902;3495.12;3495.12;0.00;0.00
498;MULTIFUNKCIJSKI APARAT CA;50;1003;Elekt. Računala, oprema i mobi;2010-03-30;2010-04-01;03100;03908;2656.71;2656.71;0.00;0.00
499;HARD DISK SA 4 KAMERE;50;1003;Elekt. Računala, oprema i mobi;2010-04-27;2010-05-01;03110;03902;3717.23;3717.23;0.00;0.00
500;PC LENOVO , MONITOR, ZG;50;1003;Elekt. Računala, oprema i mobi;2010-05-12;2010-06-01;03110;03902;4931.84;4931.84;0.00;0.00
501;Aparat za punjenje argono;10;1008;Ostala oprema;2010-04-01;2010-04-01;03010;03901;11762.00;7743.58;4018.42;1176.24
502;Ormar za registratore;20;1004;Namještaj(uredski,pogonski);2010-02-01;2010-02-01;03210;03911;4796.75;4796.75;0.00;0.00
503;Ormarić na kotačima;20;1004;Namještaj(uredski,pogonski);2010-05-15;2010-06-01;03210;03911;626.02;626.02;0.00;0.00
504;Stalci za reklame svjetle;10;1008;Ostala oprema;2010-04-01;2010-04-01;03210;03911;5728.35;3866.94;1861.41;572.88
505;Preša za savijanje alumin;10;1008;Ostala oprema;2010-07-15;2010-08-01;03010;03901;31443.62;20176.31;11267.31;3144.36
506;PC Lenova Thinkcentre SMR;50;1003;Elekt. Računala, oprema i mobi;2010-08-18;2010-09-01;03110;03902;3749.00;3749.00;0.00;0.00
507;Monitor LCD 19 VH192D ASU;50;1003;Elekt. Računala, oprema i mobi;2010-08-18;2010-09-01;03110;03902;772.28;772.28;0.00;0.00
508;Škoda Octavia 1.9TDI osob;20;1005;Osobna vozila;2010-07-21;2010-08-01;03200;03920;0.00;0.00;0.00;0.00
509;CITROEN JUMPER II FG 35 L;25;1007;Vozila teretna i kombi vozila;2010-08-23;2010-09-01;03203;03903;0.00;0.00;0.00;0.00
510;RENAULT MASTER FG EI 333;25;1007;Vozila teretna i kombi vozila;2010-09-07;2010-10-01;03203;03903;52845.53;52845.53;0.00;0.00
511;BROJAČ NOVČANICA;10;1008;Ostala oprema;2010-10-01;2010-10-01;03100;03908;3160.00;1974.75;1185.25;315.96
512;PUMPA MONOFOLLOW;10;1008;Ostala oprema;2010-09-30;2010-10-01;03010;03901;15000.00;9375.00;5625.00;1500.00
513;Klima LG UR.CS12AF;10;1008;Ostala oprema;2010-10-01;2010-10-01;03030;03906;1469.92;918.75;551.17;147.00
514;Klima LG UR.S12AF___;10;1008;Ostala oprema;2010-10-01;2010-10-01;03030;03906;2204.88;1377.75;827.13;220.44
515;PRINTER MFP MF4690PL+fax+;50;1003;Elekt. Računala, oprema i mobi;2010-09-01;2010-09-01;03110;03902;2838.78;2838.78;0.00;0.00
516;PRINTER MFP MF4690PL+fax+;50;1003;Elekt. Računala, oprema i mobi;2010-09-01;2010-09-01;03110;03902;2132.19;2132.19;0.00;0.00
518;CITROEN BERLINGO 1.6 HDI;25;1007;Vozila teretna i kombi vozila;2010-11-01;2010-11-01;03203;03903;32926.83;32926.83;0.00;0.00
519;MFP MF4690PL+Fax+ADF+LAN+;50;1003;Elekt. Računala, oprema i mobi;2010-11-01;2010-11-01;03110;03902;2627.19;2627.19;0.00;0.00
520;Pisač LB3310 26 str/min;50;1003;Elekt. Računala, oprema i mobi;2010-11-01;2010-11-01;03110;03902;1235.43;1235.43;0.00;0.00
521;Pisač LB3310 26 str/min;50;1003;Elekt. Računala, oprema i mobi;2010-11-01;2010-11-01;03110;03902;1235.43;1235.43;0.00;0.00
522;Disk server NAS Synology;50;1003;Elekt. Računala, oprema i mobi;2010-11-01;2010-11-01;03110;03902;3990.00;3990.00;0.00;0.00
523;Ladičar pokretni sa 3 lad;20;1004;Namještaj(uredski,pogonski);2010-11-01;2010-11-01;03210;03911;1567.95;1567.95;0.00;0.00
524;Otvoreni poličar;20;1004;Namještaj(uredski,pogonski);2010-11-01;2010-11-01;03210;03911;2660.16;2660.16;0.00;0.00
525;Ladičar pokretni sa 3 lad;20;1004;Namještaj(uredski,pogonski);2010-11-01;2010-11-01;03210;03911;1594.30;1594.30;0.00;0.00
526;Kontejner 2kom;10;1008;Ostala oprema;2010-06-01;2010-06-01;03220;03922;8976.00;5909.20;3066.80;897.60
527;Škoda 1,9 TDI Octavia 2;20;1005;Osobna vozila;2010-12-01;2010-12-01;03200;03920;51951.22;51951.22;0.00;0.00
528;Škoda 1,9 TDI Octavia 3;20;1005;Osobna vozila;2010-12-01;2010-12-01;03200;03920;51951.22;51951.22;0.00;0.00
529;Lenovo G550L-2 Dual core;50;1003;Elekt. Računala, oprema i mobi;2010-12-01;2010-12-01;03110;03902;3088.62;3088.62;0.00;0.00
530;CENTRALA Panasonic KX-T D;25;1006;Telefoni-centrala;2010-12-01;2011-01-01;03120;03912;14235.00;14235.00;0.00;0.00
532;Fiat punto 1.3BJ869EV;25;1007;Vozila teretna i kombi vozila;2010-12-01;2011-01-01;03203;03903;28861.79;28861.79;0.00;0.00
533;SKELA;10;1008;Ostala oprema;2011-03-01;2011-03-01;03160;03907;8590.00;5010.60;3579.40;858.96
535;PILA TRAČNA;10;1008;Ostala oprema;2011-05-01;2011-05-01;03010;03901;3942.28;2233.80;1708.48;394.20
536;SERVER;50;1003;Elekt. Računala, oprema i mobi;2011-05-01;2011-05-01;03110;03902;22262.35;22262.35;0.00;0.00
537;LICENCA;25;1009;Licence;2011-05-01;2011-05-01;00;01910;4557.14;4557.14;0.00;0.00
538;KOMPRESOR VIJČANI BABATZ;10;1008;Ostala oprema;2011-03-01;2011-03-01;03010;03901;49900.00;29108.10;20791.90;4989.96
539;LICENCE;25;1009;Licence;2011-05-01;2011-05-01;00;01910;7654.24;7654.24;0.00;0.00
540;Tucanik za parkiralište;5;1002;Građevinski objekti niskogradn;2011-06-01;2011-06-01;02360;03960;57939.37;16221.43;41717.94;2896.92
541;STOLNO RAČUNALO HP 500B;50;1011;Računala,programimmob.telef.op;2011-04-28;2011-05-01;03110;03902;2161.83;2161.83;0.00;0.00
542;SKELA Baumax;10;1008;Ostala oprema;2011-08-01;2011-08-01;03160;03907;6290.21;3407.30;2882.91;629.04
543;Pištolj za silikon HDT;10;1008;Ostala oprema;2011-08-01;2011-08-01;03010;03901;2885.85;1563.25;1322.60;288.60
544;Računalo INSTAR Surf;50;1003;Elekt. Računala, oprema i mobi;2011-09-01;2011-09-01;03110;03902;1195.62;1195.62;0.00;0.00
545;Klima VIVAX ACP-18CH50AEF;10;1008;Ostala oprema;2011-08-01;2011-08-01;03030;03906;3526.01;1909.70;1616.31;352.56
546;Butil extruder 2,4kg rabl;10;1008;Ostala oprema;2011-11-01;2011-11-01;03010;03901;41250.00;21312.50;19937.50;4125.00
547;KAMERE Netvision;50;1003;Elekt. Računala, oprema i mobi;2011-12-30;2012-01-01;03110;03902;28917.70;28917.70;0.00;0.00
